quarter,specialty_name_top,mean
2021Q4,Cardiology,572.597609561753
2021Q4,Cardiothoracic Surgery,576.5094339622641
2021Q4,Gastroenterology,449.93693693693695
2021Q4,General Medicine,3132.246835443038
2021Q4,General Surgery,1205.2182890855456
2021Q4,Geriatric Medicine,1007.2468085106383
2021Q4,Haematology,473.2048780487805
2021Q4,Other,212.75546218487395
2021Q4,Trauma and Orthopaedic Surgery,525.5612244897959
2021Q4,Urology,457.30384615384617
2022Q1,Cardiology,561.1968503937007
2022Q1,Cardiothoracic Surgery,567.566037735849
2022Q1,Gastroenterology,455.990990990991
2022Q1,General Medicine,3022.496835443038
2022Q1,General Surgery,1200.7559523809523
2022Q1,Geriatric Medicine,950.5042372881356
2022Q1,Haematology,471.55121951219513
2022Q1,Other,212.51840880236986
2022Q1,Trauma and Orthopaedic Surgery,498.4039735099338
2022Q1,Urology,433.2269230769231
2022Q2,Cardiology,562.27734375
2022Q2,Cardiothoracic Surgery,578.2727272727273
2022Q2,Gastroenterology,443.29824561403507
2022Q2,General Medicine,3012.608695652174
2022Q2,General Surgery,1247.2861356932153
2022Q2,Geriatric Medicine,1007.3931623931624
2022Q2,Haematology,485.1179245283019
2022Q2,Other,219.44444444444446
2022Q2,Trauma and Orthopaedic Surgery,584.1295681063123
2022Q2,Urology,458.2368421052632
2022Q3,Cardiology,522.7394636015325
2022Q3,Cardiothoracic Surgery,539.2
2022Q3,Gastroenterology,449.7522522522523
2022Q3,General Medicine,3096.8263665594855
2022Q3,General Surgery,1271.9824046920821
2022Q3,Geriatric Medicine,995.0350877192982
2022Q3,Haematology,482.26027397260276
2022Q3,Other,218.2261159783062
2022Q3,Trauma and Orthopaedic Surgery,602.8294314381271
2022Q3,Urology,503.27450980392155
