Quarter,HB,LengthOfStay,Episodes
2022Q2,Non-NHS Provider/Location,685,42
2022Q3,Non-NHS Provider/Location,428,51
2017Q3,Non-NHS Provider/Location,565,39
2017Q4,Non-NHS Provider/Location,435,34
2018Q1,Non-NHS Provider/Location,207,30
2018Q2,Non-NHS Provider/Location,412,26
2018Q3,Non-NHS Provider/Location,263,22
2018Q4,Non-NHS Provider/Location,259,28
2019Q1,Non-NHS Provider/Location,266,38
2019Q2,Non-NHS Provider/Location,314,40
2019Q3,Non-NHS Provider/Location,459,41
2019Q4,Non-NHS Provider/Location,444,31
2020Q1,Non-NHS Provider/Location,358,40
2020Q2,Non-NHS Provider/Location,477,38
2020Q3,Non-NHS Provider/Location,700,42
2020Q4,Non-NHS Provider/Location,204,24
2021Q1,Non-NHS Provider/Location,179,35
2021Q2,Non-NHS Provider/Location,178,29
2021Q3,Non-NHS Provider/Location,253,30
2021Q4,Non-NHS Provider/Location,330,20
2022Q1,Non-NHS Provider/Location,45,14
2022Q2,Non-NHS Provider/Location,229,21
2022Q3,Non-NHS Provider/Location,222,19
2017Q3,Non-NHS Provider/Location,0,0
2017Q4,Non-NHS Provider/Location,5,5
2018Q1,Non-NHS Provider/Location,5,5
2018Q3,Non-NHS Provider/Location,8,0
2018Q4,Non-NHS Provider/Location,148,5
2019Q1,Non-NHS Provider/Location,21,0
2019Q2,Non-NHS Provider/Location,36,5
2019Q3,Non-NHS Provider/Location,161,10
2019Q4,Non-NHS Provider/Location,40,5
2020Q1,Non-NHS Provider/Location,82,5
2020Q2,Non-NHS Provider/Location,57,10
2020Q3,Non-NHS Provider/Location,63,5
2020Q4,Non-NHS Provider/Location,136,5
2021Q1,Non-NHS Provider/Location,0,5
2021Q2,Non-NHS Provider/Location,25,5
2021Q3,Non-NHS Provider/Location,126,5
2021Q4,Non-NHS Provider/Location,83,5
2022Q1,Non-NHS Provider/Location,15,0
2022Q2,Non-NHS Provider/Location,98,5
2022Q3,Non-NHS Provider/Location,5,5
2017Q3,Non-NHS Provider/Location,248,74
2017Q4,Non-NHS Provider/Location,244,73
2018Q1,Non-NHS Provider/Location,290,83
2018Q2,Non-NHS Provider/Location,324,90
2018Q3,Non-NHS Provider/Location,303,88
2018Q4,Non-NHS Provider/Location,213,78
2019Q1,Non-NHS Provider/Location,319,92
2019Q2,Non-NHS Provider/Location,251,80
2019Q3,Non-NHS Provider/Location,273,77
2017Q3,Non-NHS Provider/Location,258,76
2017Q4,Non-NHS Provider/Location,261,77
2018Q1,Non-NHS Provider/Location,289,75
2018Q2,Non-NHS Provider/Location,262,71
2018Q3,Non-NHS Provider/Location,271,77
2018Q4,Non-NHS Provider/Location,253,80
2019Q1,Non-NHS Provider/Location,259,84
2019Q2,Non-NHS Provider/Location,228,65
2019Q3,Non-NHS Provider/Location,265,72
2020Q1,Non-NHS Provider/Location,0,0
2021Q1,Non-NHS Provider/Location,11,5
2021Q2,Non-NHS Provider/Location,0,5
2017Q3,Non-NHS Provider/Location,55,12
2017Q4,Non-NHS Provider/Location,58,22
2018Q1,Non-NHS Provider/Location,11,5
2018Q2,Non-NHS Provider/Location,15,11
2018Q3,Non-NHS Provider/Location,12,10
2018Q4,Non-NHS Provider/Location,20,19
2019Q1,Non-NHS Provider/Location,27,17
2019Q2,Non-NHS Provider/Location,85,12
2019Q3,Non-NHS Provider/Location,68,15
2019Q4,Non-NHS Provider/Location,0,5
2020Q1,Non-NHS Provider/Location,10,11
2020Q2,Non-NHS Provider/Location,5,5
2020Q3,Non-NHS Provider/Location,5,10
2020Q4,Non-NHS Provider/Location,8,0
2021Q1,Non-NHS Provider/Location,5,10
2021Q2,Non-NHS Provider/Location,0,0
2021Q3,Non-NHS Provider/Location,0,0
2021Q4,Non-NHS Provider/Location,5,0
2022Q1,Non-NHS Provider/Location,10,5
2022Q2,Non-NHS Provider/Location,0,0
2022Q3,Non-NHS Provider/Location,0,0
2017Q3,Non-NHS Provider/Location,5,5
2017Q4,Non-NHS Provider/Location,14,15
2018Q1,Non-NHS Provider/Location,15,12
2018Q2,Non-NHS Provider/Location,7,10
2018Q3,Non-NHS Provider/Location,5,5
2018Q4,Non-NHS Provider/Location,6,11
2019Q1,Non-NHS Provider/Location,27,18
2019Q2,Non-NHS Provider/Location,8,10
2019Q3,Non-NHS Provider/Location,5,11
2019Q4,Non-NHS Provider/Location,7,10
2020Q1,Non-NHS Provider/Location,86,10
2020Q2,Non-NHS Provider/Location,5,10
2020Q3,Non-NHS Provider/Location,405,14
2020Q4,Non-NHS Provider/Location,33,5
2021Q1,Non-NHS Provider/Location,20,13
2021Q2,Non-NHS Provider/Location,5,5
2021Q3,Non-NHS Provider/Location,0,5
2021Q4,Non-NHS Provider/Location,0,0
2022Q1,Non-NHS Provider/Location,0,0
2022Q2,Non-NHS Provider/Location,0,0
2017Q3,Non-NHS Provider/Location,51,10
2017Q4,Non-NHS Provider/Location,73,16
2018Q1,Non-NHS Provider/Location,87,30
2018Q2,Non-NHS Provider/Location,53,16
2018Q3,Non-NHS Provider/Location,152,10
2018Q4,Non-NHS Provider/Location,145,18
2019Q1,Non-NHS Provider/Location,82,39
2019Q2,Non-NHS Provider/Location,100,13
2019Q3,Non-NHS Provider/Location,39,19
2019Q4,Non-NHS Provider/Location,20,12
2020Q1,Non-NHS Provider/Location,23,10
2020Q2,Non-NHS Provider/Location,19,20
2020Q3,Non-NHS Provider/Location,96,33
2020Q4,Non-NHS Provider/Location,64,10
2021Q1,Non-NHS Provider/Location,16,20
2021Q2,Non-NHS Provider/Location,33,14
2021Q3,Non-NHS Provider/Location,68,10
2021Q4,Non-NHS Provider/Location,114,5
2022Q1,Non-NHS Provider/Location,37,5
2022Q2,Non-NHS Provider/Location,33,5
2022Q3,Non-NHS Provider/Location,91,10
2017Q3,Non-NHS Provider/Location,46,19
2017Q4,Non-NHS Provider/Location,367,36
2018Q1,Non-NHS Provider/Location,288,53
2018Q2,Non-NHS Provider/Location,84,32
2018Q3,Non-NHS Provider/Location,285,25
2018Q4,Non-NHS Provider/Location,212,39
2019Q1,Non-NHS Provider/Location,237,63
2019Q2,Non-NHS Provider/Location,194,53
2019Q3,Non-NHS Provider/Location,268,44
2019Q4,Non-NHS Provider/Location,78,36
2020Q1,Non-NHS Provider/Location,106,40
2020Q2,Non-NHS Provider/Location,90,47
2020Q3,Non-NHS Provider/Location,219,58
2020Q4,Non-NHS Provider/Location,310,38
2021Q1,Non-NHS Provider/Location,159,50
2021Q2,Non-NHS Provider/Location,131,24
2021Q3,Non-NHS Provider/Location,205,24
2021Q4,Non-NHS Provider/Location,85,25
2022Q1,Non-NHS Provider/Location,44,14
2022Q2,Non-NHS Provider/Location,133,15
2022Q3,Non-NHS Provider/Location,210,35
2017Q3,Non-NHS Provider/Location,536,53
2017Q4,Non-NHS Provider/Location,730,64
2018Q1,Non-NHS Provider/Location,689,83
2018Q2,Non-NHS Provider/Location,290,63
2018Q3,Non-NHS Provider/Location,361,33
2018Q4,Non-NHS Provider/Location,323,60
2019Q1,Non-NHS Provider/Location,499,93
2019Q2,Non-NHS Provider/Location,434,74
2019Q3,Non-NHS Provider/Location,389,84
2019Q4,Non-NHS Provider/Location,353,66
2020Q1,Non-NHS Provider/Location,301,71
2020Q2,Non-NHS Provider/Location,329,103
2020Q3,Non-NHS Provider/Location,470,112
2020Q4,Non-NHS Provider/Location,227,27
2021Q1,Non-NHS Provider/Location,410,103
2021Q2,Non-NHS Provider/Location,390,84
2021Q3,Non-NHS Provider/Location,292,70
2021Q4,Non-NHS Provider/Location,201,53
2022Q1,Non-NHS Provider/Location,321,71
2022Q2,Non-NHS Provider/Location,149,34
2022Q3,Non-NHS Provider/Location,272,54
2017Q3,Non-NHS Provider/Location,525,58
2017Q4,Non-NHS Provider/Location,418,59
2018Q1,Non-NHS Provider/Location,456,72
2018Q2,Non-NHS Provider/Location,431,44
2018Q3,Non-NHS Provider/Location,432,37
2018Q4,Non-NHS Provider/Location,346,57
2019Q1,Non-NHS Provider/Location,446,116
2019Q2,Non-NHS Provider/Location,409,87
2019Q3,Non-NHS Provider/Location,546,67
2019Q4,Non-NHS Provider/Location,421,60
2020Q1,Non-NHS Provider/Location,495,74
2020Q2,Non-NHS Provider/Location,420,112
2020Q3,Non-NHS Provider/Location,370,131
2020Q4,Non-NHS Provider/Location,370,39
2021Q1,Non-NHS Provider/Location,412,102
2021Q2,Non-NHS Provider/Location,332,73
2021Q3,Non-NHS Provider/Location,394,71
2021Q4,Non-NHS Provider/Location,606,53
2022Q1,Non-NHS Provider/Location,217,56
2022Q2,Non-NHS Provider/Location,483,39
2022Q3,Non-NHS Provider/Location,290,50
2017Q3,Non-NHS Provider/Location,606,37
2017Q4,Non-NHS Provider/Location,635,41
2018Q1,Non-NHS Provider/Location,500,43
2018Q2,Non-NHS Provider/Location,589,21
2018Q3,Non-NHS Provider/Location,432,24
2018Q4,Non-NHS Provider/Location,134,26
2019Q1,Non-NHS Provider/Location,98,29
2019Q2,Non-NHS Provider/Location,261,39
2019Q3,Non-NHS Provider/Location,109,28
2019Q4,Non-NHS Provider/Location,197,33
2020Q1,Non-NHS Provider/Location,72,24
2020Q2,Non-NHS Provider/Location,326,34
2020Q3,Non-NHS Provider/Location,247,50
2020Q4,Non-NHS Provider/Location,166,24
2021Q1,Non-NHS Provider/Location,208,25
2021Q2,Non-NHS Provider/Location,301,22
2021Q3,Non-NHS Provider/Location,107,14
2021Q4,Non-NHS Provider/Location,76,11
2022Q1,Non-NHS Provider/Location,125,19
2022Q2,Non-NHS Provider/Location,283,22
2022Q3,Non-NHS Provider/Location,132,24
2017Q3,Non-NHS Provider/Location,51,5
2017Q4,Non-NHS Provider/Location,87,5
2018Q1,Non-NHS Provider/Location,60,0
2018Q2,Non-NHS Provider/Location,13,0
2018Q3,Non-NHS Provider/Location,17,5
2019Q1,Non-NHS Provider/Location,61,5
2019Q2,Non-NHS Provider/Location,9,5
2019Q3,Non-NHS Provider/Location,26,5
2019Q4,Non-NHS Provider/Location,35,5
2020Q1,Non-NHS Provider/Location,58,5
2020Q2,Non-NHS Provider/Location,6,5
2020Q3,Non-NHS Provider/Location,23,5
2020Q4,Non-NHS Provider/Location,16,5
2021Q1,Non-NHS Provider/Location,0,0
2021Q2,Non-NHS Provider/Location,8,0
2021Q3,Non-NHS Provider/Location,5,0
2021Q4,Non-NHS Provider/Location,21,0
2022Q1,Non-NHS Provider/Location,42,5
2022Q2,Non-NHS Provider/Location,5,0
2022Q3,Non-NHS Provider/Location,0,5
2017Q3,Scotland,1566,684
2017Q4,Scotland,1840,640
2018Q1,Scotland,1507,701
2018Q2,Scotland,1674,737
2018Q3,Scotland,1904,704
2018Q4,Scotland,1515,631
2019Q1,Scotland,1710,690
2019Q2,Scotland,1782,611
2019Q3,Scotland,1577,682
2019Q4,Scotland,1232,556
2020Q1,Scotland,1321,590
2020Q2,Scotland,1029,201
2020Q3,Scotland,1641,391
2020Q4,Scotland,1215,430
2021Q1,Scotland,1130,414
2021Q2,Scotland,1202,478
2021Q3,Scotland,971,374
2021Q4,Scotland,826,325
2022Q1,Scotland,992,423
2022Q2,Scotland,1004,419
2022Q3,Scotland,1083,430
2017Q3,Scotland,2030,729
2017Q4,Scotland,1604,693
2018Q1,Scotland,1545,691
2018Q2,Scotland,1841,753
2018Q3,Scotland,1673,720
2018Q4,Scotland,1521,623
2019Q1,Scotland,1768,641
2019Q2,Scotland,1480,608
2019Q3,Scotland,1628,643
2019Q4,Scotland,1329,496
2020Q1,Scotland,1136,503
2020Q2,Scotland,500,159
2020Q3,Scotland,867,314
2020Q4,Scotland,2949,429
2021Q1,Scotland,1035,342
2021Q2,Scotland,1235,441
2021Q3,Scotland,1020,376
2021Q4,Scotland,743,387
2022Q1,Scotland,904,441
2022Q2,Scotland,1099,392
2022Q3,Scotland,1040,444
2017Q3,Scotland,2029,827
2017Q4,Scotland,2018,754
2018Q1,Scotland,1428,704
2018Q2,Scotland,1980,812
2018Q3,Scotland,1780,774
2018Q4,Scotland,2207,717
2019Q1,Scotland,1682,694
2019Q2,Scotland,1663,759
2019Q3,Scotland,1738,698
2019Q4,Scotland,1370,660
2020Q1,Scotland,1567,630
2020Q2,Scotland,506,200
2020Q3,Scotland,1205,422
2020Q4,Scotland,1392,504
2021Q1,Scotland,950,383
2021Q2,Scotland,1245,475
2021Q3,Scotland,1144,415
2021Q4,Scotland,1094,391
2022Q1,Scotland,1018,356
2022Q2,Scotland,1211,381
2022Q3,Scotland,1199,466
2017Q3,Scotland,3376,1067
2017Q4,Scotland,3146,1061
2018Q1,Scotland,2339,1023
2018Q2,Scotland,3004,1162
2018Q3,Scotland,2936,1016
2018Q4,Scotland,2928,1057
2019Q1,Scotland,3171,1073
2019Q2,Scotland,2757,1048
2019Q3,Scotland,2939,1048
2019Q4,Scotland,3237,948
2020Q1,Scotland,2189,892
2020Q2,Scotland,1021,353
2020Q3,Scotland,1935,666
2020Q4,Scotland,2029,762
2021Q1,Scotland,1326,631
2021Q2,Scotland,1921,791
2021Q3,Scotland,1801,647
2021Q4,Scotland,2134,583
2022Q1,Scotland,1370,546
2022Q2,Scotland,1805,624
2022Q3,Scotland,2140,713
2017Q3,Scotland,4919,1713
2017Q4,Scotland,4813,1666
2018Q1,Scotland,5361,1575
2018Q2,Scotland,4643,1619
2018Q3,Scotland,4742,1598
2018Q4,Scotland,4687,1563
2019Q1,Scotland,4590,1511
2019Q2,Scotland,4565,1544
2019Q3,Scotland,5108,1477
2019Q4,Scotland,4577,1442
2020Q1,Scotland,3986,1340
2020Q2,Scotland,1395,553
2020Q3,Scotland,2814,939
2020Q4,Scotland,3047,999
2021Q1,Scotland,3273,846
2021Q2,Scotland,2861,1108
2021Q3,Scotland,2619,962
2021Q4,Scotland,2735,864
2022Q1,Scotland,2416,812
2022Q2,Scotland,2552,889
2022Q3,Scotland,3022,1008
2017Q3,Scotland,10506,2992
2017Q4,Scotland,10815,3011
2018Q1,Scotland,9789,2800
2018Q2,Scotland,10295,2973
2018Q3,Scotland,10418,2797
2018Q4,Scotland,10448,2834
2019Q1,Scotland,8679,2804
2019Q2,Scotland,9364,2846
2019Q3,Scotland,8951,2710
2019Q4,Scotland,8195,2706
2020Q1,Scotland,8688,2495
2020Q2,Scotland,3599,847
2020Q3,Scotland,5642,1598
2020Q4,Scotland,6849,1909
2021Q1,Scotland,5127,1551
2021Q2,Scotland,7326,2068
2021Q3,Scotland,6776,1784
2021Q4,Scotland,6279,1646
2022Q1,Scotland,5460,1606
2022Q2,Scotland,5600,1759
2022Q3,Scotland,7366,1937
2017Q3,Scotland,14549,3518
2017Q4,Scotland,13412,3486
2018Q1,Scotland,12354,3187
2018Q2,Scotland,13452,3488
2018Q3,Scotland,12866,3350
2018Q4,Scotland,13964,3356
2019Q1,Scotland,11450,3304
2019Q2,Scotland,12387,3401
2019Q3,Scotland,13004,3331
2019Q4,Scotland,12311,3301
2020Q1,Scotland,10755,2989
2020Q2,Scotland,5372,1120
2020Q3,Scotland,7856,1944
2020Q4,Scotland,8271,2299
2021Q1,Scotland,7462,1857
2021Q2,Scotland,9040,2507
2021Q3,Scotland,10043,2395
2021Q4,Scotland,9358,2133
2022Q1,Scotland,7773,2097
2022Q2,Scotland,9265,2393
2022Q3,Scotland,9279,2591
2017Q3,Scotland,15530,3260
2017Q4,Scotland,16677,3261
2018Q1,Scotland,13562,2882
2018Q2,Scotland,14487,3437
2018Q3,Scotland,14233,3203
2018Q4,Scotland,14854,3310
2019Q1,Scotland,12734,3232
2019Q2,Scotland,14202,3256
2019Q3,Scotland,14153,3270
2019Q4,Scotland,14233,3350
2020Q1,Scotland,12624,2823
2020Q2,Scotland,5176,937
2020Q3,Scotland,7909,1827
2020Q4,Scotland,9773,2131
2021Q1,Scotland,7734,1618
2021Q2,Scotland,9685,2424
2021Q3,Scotland,10216,2221
2021Q4,Scotland,8945,2020
2022Q1,Scotland,8259,1958
2022Q2,Scotland,9036,2268
2022Q3,Scotland,10639,2481
2017Q3,Scotland,8793,1469
2017Q4,Scotland,8647,1432
2018Q1,Scotland,7235,1301
2018Q2,Scotland,7829,1427
2018Q3,Scotland,6422,1339
2018Q4,Scotland,6847,1415
2019Q1,Scotland,6169,1300
2019Q2,Scotland,6923,1369
2019Q3,Scotland,7178,1392
2019Q4,Scotland,6715,1394
2020Q1,Scotland,6512,1222
2020Q2,Scotland,2859,426
2020Q3,Scotland,4511,797
2020Q4,Scotland,4681,922
2021Q1,Scotland,3854,739
2021Q2,Scotland,6436,1066
2021Q3,Scotland,4342,927
2021Q4,Scotland,4571,888
2022Q1,Scotland,3908,829
2022Q2,Scotland,4595,977
2022Q3,Scotland,5281,1022
2017Q3,Scotland,1094,160
2017Q4,Scotland,645,129
2018Q1,Scotland,546,126
2018Q2,Scotland,966,131
2018Q3,Scotland,854,119
2018Q4,Scotland,984,132
2019Q1,Scotland,708,142
2019Q2,Scotland,1013,139
2019Q3,Scotland,1015,162
2019Q4,Scotland,738,132
2020Q1,Scotland,780,114
2020Q2,Scotland,466,59
2020Q3,Scotland,627,83
2020Q4,Scotland,900,105
2021Q1,Scotland,398,65
2021Q2,Scotland,347,107
2021Q3,Scotland,776,99
2021Q4,Scotland,530,96
2022Q1,Scotland,571,86
2022Q2,Scotland,505,116
2022Q3,Scotland,730,103
2017Q3,Scotland,2614,888
2017Q4,Scotland,2093,867
2018Q1,Scotland,2070,964
2018Q2,Scotland,2194,963
2018Q3,Scotland,2349,902
2018Q4,Scotland,1842,739
2019Q1,Scotland,2456,839
2019Q2,Scotland,2083,845
2019Q3,Scotland,1890,830
2019Q4,Scotland,1347,707
2020Q1,Scotland,1023,739
2020Q2,Scotland,1002,285
2020Q3,Scotland,1177,484
2020Q4,Scotland,1153,633
2021Q1,Scotland,1400,584
2021Q2,Scotland,1149,582
2021Q3,Scotland,1031,519
2021Q4,Scotland,1059,416
2022Q1,Scotland,1358,545
2022Q2,Scotland,1255,479
2022Q3,Scotland,1310,578
2017Q3,Scotland,1889,697
2017Q4,Scotland,1883,735
2018Q1,Scotland,2001,693
2018Q2,Scotland,1565,698
2018Q3,Scotland,1792,634
2018Q4,Scotland,1887,617
2019Q1,Scotland,1280,576
2019Q2,Scotland,1730,601
2019Q3,Scotland,1696,594
2019Q4,Scotland,1536,541
2020Q1,Scotland,1680,641
2020Q2,Scotland,591,208
2020Q3,Scotland,1280,386
2020Q4,Scotland,1122,494
2021Q1,Scotland,1003,399
2021Q2,Scotland,1101,472
2021Q3,Scotland,1156,417
2021Q4,Scotland,1052,489
2022Q1,Scotland,960,480
2022Q2,Scotland,834,424
2022Q3,Scotland,1717,487
2017Q3,Scotland,2032,732
2017Q4,Scotland,1572,742
2018Q1,Scotland,1662,712
2018Q2,Scotland,1905,750
2018Q3,Scotland,1593,704
2018Q4,Scotland,1644,667
2019Q1,Scotland,1460,631
2019Q2,Scotland,1525,655
2019Q3,Scotland,1537,717
2019Q4,Scotland,1456,639
2020Q1,Scotland,1168,544
2020Q2,Scotland,590,214
2020Q3,Scotland,956,379
2020Q4,Scotland,1126,441
2021Q1,Scotland,677,318
2021Q2,Scotland,1092,460
2021Q3,Scotland,1373,379
2021Q4,Scotland,1008,364
2022Q1,Scotland,974,369
2022Q2,Scotland,1073,369
2022Q3,Scotland,1041,392
2017Q3,Scotland,2266,929
2017Q4,Scotland,2445,992
2018Q1,Scotland,2087,941
2018Q2,Scotland,2567,957
2018Q3,Scotland,2067,895
2018Q4,Scotland,2255,889
2019Q1,Scotland,2581,971
2019Q2,Scotland,2368,914
2019Q3,Scotland,2024,813
2019Q4,Scotland,2250,832
2020Q1,Scotland,2078,740
2020Q2,Scotland,788,250
2020Q3,Scotland,1689,472
2020Q4,Scotland,1590,574
2021Q1,Scotland,1389,447
2021Q2,Scotland,1473,595
2021Q3,Scotland,1614,514
2021Q4,Scotland,1485,454
2022Q1,Scotland,1477,486
2022Q2,Scotland,1450,522
2022Q3,Scotland,1513,576
2017Q3,Scotland,4676,1412
2017Q4,Scotland,4742,1464
2018Q1,Scotland,4918,1315
2018Q2,Scotland,4373,1320
2018Q3,Scotland,3879,1282
2018Q4,Scotland,4379,1327
2019Q1,Scotland,3756,1271
2019Q2,Scotland,3730,1266
2019Q3,Scotland,3621,1162
2019Q4,Scotland,3875,1213
2020Q1,Scotland,3298,1096
2020Q2,Scotland,1555,413
2020Q3,Scotland,2212,678
2020Q4,Scotland,2615,860
2021Q1,Scotland,2471,703
2021Q2,Scotland,2855,918
2021Q3,Scotland,2471,843
2021Q4,Scotland,3008,715
2022Q1,Scotland,2507,767
2022Q2,Scotland,3231,739
2022Q3,Scotland,2991,876
2017Q3,Scotland,9633,2806
2017Q4,Scotland,11786,2875
2018Q1,Scotland,10042,2761
2018Q2,Scotland,11117,2891
2018Q3,Scotland,8498,2687
2018Q4,Scotland,9959,2688
2019Q1,Scotland,10229,2728
2019Q2,Scotland,9574,2753
2019Q3,Scotland,9385,2642
2019Q4,Scotland,9114,2686
2020Q1,Scotland,8722,2421
2020Q2,Scotland,3782,995
2020Q3,Scotland,5796,1641
2020Q4,Scotland,7025,1806
2021Q1,Scotland,5597,1580
2021Q2,Scotland,7218,2044
2021Q3,Scotland,6678,1780
2021Q4,Scotland,6413,1708
2022Q1,Scotland,7060,1645
2022Q2,Scotland,6851,1766
2022Q3,Scotland,6834,1879
2017Q3,Scotland,16810,4122
2017Q4,Scotland,17000,4158
2018Q1,Scotland,15512,3860
2018Q2,Scotland,15678,4081
2018Q3,Scotland,15270,3950
2018Q4,Scotland,15178,3932
2019Q1,Scotland,14877,4104
2019Q2,Scotland,16690,4010
2019Q3,Scotland,15335,3912
2019Q4,Scotland,14729,3922
2020Q1,Scotland,13094,3423
2020Q2,Scotland,6639,1462
2020Q3,Scotland,11455,2495
2020Q4,Scotland,11149,2811
2021Q1,Scotland,9350,2432
2021Q2,Scotland,13399,3091
2021Q3,Scotland,12135,2843
2021Q4,Scotland,11927,2762
2022Q1,Scotland,10001,2670
2022Q2,Scotland,11833,2915
2022Q3,Scotland,13284,3139
2017Q3,Scotland,18317,3858
2017Q4,Scotland,17424,3874
2018Q1,Scotland,16552,3587
2018Q2,Scotland,16011,3883
2018Q3,Scotland,17178,3926
2018Q4,Scotland,17355,3962
2019Q1,Scotland,14591,3844
2019Q2,Scotland,15879,4023
2019Q3,Scotland,16996,3785
2019Q4,Scotland,16765,3924
2020Q1,Scotland,14767,3494
2020Q2,Scotland,5891,1417
2020Q3,Scotland,10847,2606
2020Q4,Scotland,11223,2729
2021Q1,Scotland,9273,2280
2021Q2,Scotland,12196,3030
2021Q3,Scotland,12302,2875
2021Q4,Scotland,12208,2690
2022Q1,Scotland,10044,2584
2022Q2,Scotland,12020,2831
2022Q3,Scotland,13258,3072
2017Q3,Scotland,7756,1649
2017Q4,Scotland,8422,1591
2018Q1,Scotland,7214,1438
2018Q2,Scotland,7997,1634
2018Q3,Scotland,7741,1610
2018Q4,Scotland,7668,1507
2019Q1,Scotland,6221,1487
2019Q2,Scotland,7071,1611
2019Q3,Scotland,7049,1564
2019Q4,Scotland,6594,1553
2020Q1,Scotland,5512,1346
2020Q2,Scotland,2739,480
2020Q3,Scotland,4035,1009
2020Q4,Scotland,5141,1143
2021Q1,Scotland,4794,878
2021Q2,Scotland,4927,1194
2021Q3,Scotland,4293,1109
2021Q4,Scotland,4236,952
2022Q1,Scotland,3899,1006
2022Q2,Scotland,4855,1117
2022Q3,Scotland,4592,1157
2017Q3,Scotland,998,138
2017Q4,Scotland,785,126
2018Q1,Scotland,500,84
2018Q2,Scotland,667,127
2018Q3,Scotland,647,125
2018Q4,Scotland,430,106
2019Q1,Scotland,878,114
2019Q2,Scotland,460,115
2019Q3,Scotland,647,128
2019Q4,Scotland,804,130
2020Q1,Scotland,680,121
2020Q2,Scotland,157,45
2020Q3,Scotland,408,84
2020Q4,Scotland,373,88
2021Q1,Scotland,227,71
2021Q2,Scotland,404,106
2021Q3,Scotland,305,81
2021Q4,Scotland,284,77
2022Q1,Scotland,582,80
2022Q2,Scotland,395,93
2022Q3,Scotland,594,107
2018Q1,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,14,0
2018Q4,The Golden Jubilee National Hospital,0,0
2019Q2,The Golden Jubilee National Hospital,0,0
2020Q2,The Golden Jubilee National Hospital,0,0
2020Q3,The Golden Jubilee National Hospital,0,0
2020Q4,The Golden Jubilee National Hospital,0,0
2021Q1,The Golden Jubilee National Hospital,7,0
2021Q2,The Golden Jubilee National Hospital,0,0
2021Q4,The Golden Jubilee National Hospital,0,0
2017Q4,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,30,0
2018Q3,The Golden Jubilee National Hospital,10,0
2018Q4,The Golden Jubilee National Hospital,62,0
2019Q2,The Golden Jubilee National Hospital,15,5
2019Q3,The Golden Jubilee National Hospital,26,5
2020Q1,The Golden Jubilee National Hospital,5,5
2020Q2,The Golden Jubilee National Hospital,0,0
2020Q3,The Golden Jubilee National Hospital,0,0
2020Q4,The Golden Jubilee National Hospital,8,5
2021Q1,The Golden Jubilee National Hospital,10,5
2021Q2,The Golden Jubilee National Hospital,0,0
2021Q3,The Golden Jubilee National Hospital,11,5
2022Q1,The Golden Jubilee National Hospital,18,0
2022Q2,The Golden Jubilee National Hospital,64,5
2022Q3,The Golden Jubilee National Hospital,16,0
2017Q3,The Golden Jubilee National Hospital,0,0
2017Q4,The Golden Jubilee National Hospital,0,0
2018Q1,The Golden Jubilee National Hospital,40,5
2018Q2,The Golden Jubilee National Hospital,0,5
2018Q3,The Golden Jubilee National Hospital,5,0
2018Q4,The Golden Jubilee National Hospital,6,5
2019Q1,The Golden Jubilee National Hospital,20,5
2019Q2,The Golden Jubilee National Hospital,38,5
2019Q3,The Golden Jubilee National Hospital,13,5
2019Q4,The Golden Jubilee National Hospital,0,0
2020Q2,The Golden Jubilee National Hospital,5,5
2020Q3,The Golden Jubilee National Hospital,22,5
2020Q4,The Golden Jubilee National Hospital,31,5
2021Q1,The Golden Jubilee National Hospital,0,5
2021Q2,The Golden Jubilee National Hospital,107,0
2021Q3,The Golden Jubilee National Hospital,5,5
2021Q4,The Golden Jubilee National Hospital,12,5
2022Q1,The Golden Jubilee National Hospital,40,5
2022Q2,The Golden Jubilee National Hospital,6,5
2022Q3,The Golden Jubilee National Hospital,12,5
2017Q3,The Golden Jubilee National Hospital,108,10
2017Q4,The Golden Jubilee National Hospital,32,10
2018Q1,The Golden Jubilee National Hospital,22,10
2018Q2,The Golden Jubilee National Hospital,40,10
2018Q3,The Golden Jubilee National Hospital,39,10
2018Q4,The Golden Jubilee National Hospital,74,10
2019Q1,The Golden Jubilee National Hospital,10,5
2019Q2,The Golden Jubilee National Hospital,22,12
2019Q3,The Golden Jubilee National Hospital,13,5
2019Q4,The Golden Jubilee National Hospital,27,5
2020Q1,The Golden Jubilee National Hospital,35,10
2020Q2,The Golden Jubilee National Hospital,17,5
2020Q3,The Golden Jubilee National Hospital,24,11
2020Q4,The Golden Jubilee National Hospital,10,5
2021Q1,The Golden Jubilee National Hospital,102,10
2021Q2,The Golden Jubilee National Hospital,17,5
2021Q3,The Golden Jubilee National Hospital,20,5
2021Q4,The Golden Jubilee National Hospital,57,11
2022Q1,The Golden Jubilee National Hospital,17,5
2022Q2,The Golden Jubilee National Hospital,10,5
2022Q3,The Golden Jubilee National Hospital,15,5
2017Q3,The Golden Jubilee National Hospital,58,23
2017Q4,The Golden Jubilee National Hospital,69,24
2018Q1,The Golden Jubilee National Hospital,58,15
2018Q2,The Golden Jubilee National Hospital,89,20
2018Q3,The Golden Jubilee National Hospital,62,16
2018Q4,The Golden Jubilee National Hospital,205,24
