quarter,hb,specialty_name_top,episodes,length_of_spell
2022Q2,The Golden Jubilee National Hospital,Other,45,129
2022Q3,The Golden Jubilee National Hospital,Other,45,124
2017Q3,The Golden Jubilee National Hospital,General Surgery,46,57
2017Q4,The Golden Jubilee National Hospital,General Surgery,45,47
2018Q1,The Golden Jubilee National Hospital,General Surgery,60,68
2018Q2,The Golden Jubilee National Hospital,General Surgery,45,49
2018Q3,The Golden Jubilee National Hospital,General Surgery,55,61
2018Q4,The Golden Jubilee National Hospital,General Surgery,73,89
2019Q1,The Golden Jubilee National Hospital,General Surgery,42,42
2019Q2,The Golden Jubilee National Hospital,General Surgery,30,39
2019Q3,The Golden Jubilee National Hospital,General Surgery,33,35
2019Q4,The Golden Jubilee National Hospital,General Surgery,38,43
2020Q1,The Golden Jubilee National Hospital,General Surgery,45,57
2020Q2,The Golden Jubilee National Hospital,General Surgery,20,107
2020Q3,The Golden Jubilee National Hospital,General Surgery,30,135
2020Q4,The Golden Jubilee National Hospital,General Surgery,30,66
2021Q1,The Golden Jubilee National Hospital,General Surgery,51,153
2021Q2,The Golden Jubilee National Hospital,General Surgery,29,31
2021Q3,The Golden Jubilee National Hospital,General Surgery,105,312
2021Q4,The Golden Jubilee National Hospital,General Surgery,118,439
2022Q1,The Golden Jubilee National Hospital,General Surgery,110,785
2022Q2,The Golden Jubilee National Hospital,General Surgery,90,379
2022Q3,The Golden Jubilee National Hospital,General Surgery,99,326
2017Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,548,3954
2017Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,596,4505
2018Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,602,4300
2018Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,610,4423
2018Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,605,4227
2018Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,565,4087
2019Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,573,3939
2019Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,590,4238
2019Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,622,4629
2019Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,591,4830
2020Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,562,4251
2020Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,376,2489
2020Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,472,3754
2020Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,464,3732
2021Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,441,3397
2021Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,509,3885
2021Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,439,3350
2021Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,400,3588
2022Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,438,2965
2022Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,416,3260
2022Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,446,3250
2020Q2,The Golden Jubilee National Hospital,Other,54,260
2020Q3,The Golden Jubilee National Hospital,Other,59,138
2020Q4,The Golden Jubilee National Hospital,Other,50,131
2021Q1,The Golden Jubilee National Hospital,Other,39,140
2021Q2,The Golden Jubilee National Hospital,Other,38,124
2021Q3,The Golden Jubilee National Hospital,Other,5,5
2021Q4,The Golden Jubilee National Hospital,Other,25,62
2022Q1,The Golden Jubilee National Hospital,Other,25,68
2022Q2,The Golden Jubilee National Hospital,Other,5,7
2018Q3,The Golden Jubilee National Hospital,Other,0,0
2017Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1008,3478
2017Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1054,3770
2018Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1019,3504
2018Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1047,3436
2018Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1139,3519
2018Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1180,3194
2019Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1146,2757
2019Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,983,2689
2019Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,928,2959
2019Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,937,2768
2020Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,864,2411
2020Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,33,551
2020Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,360,2929
2020Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,847,2392
2021Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,864,2892
2021Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,875,2909
2021Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,797,2594
2021Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,802,2598
2022Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,735,2309
2022Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,807,2524
2022Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,864,2779
2017Q3,The Golden Jubilee National Hospital,Other,10,11
2017Q4,The Golden Jubilee National Hospital,Other,10,10
2018Q1,The Golden Jubilee National Hospital,Other,12,12
2018Q2,The Golden Jubilee National Hospital,Other,10,9
2018Q3,The Golden Jubilee National Hospital,Other,5,5
2018Q4,The Golden Jubilee National Hospital,Other,5,0
2019Q2,The Golden Jubilee National Hospital,Other,0,0
2020Q3,The Golden Jubilee National Hospital,Other,5,8
2021Q1,The Golden Jubilee National Hospital,Other,5,16
2021Q2,The Golden Jubilee National Hospital,Other,5,6
2021Q4,The Golden Jubilee National Hospital,Other,0,5
2022Q1,The Golden Jubilee National Hospital,Other,5,7
2022Q2,The Golden Jubilee National Hospital,Other,5,9
2018Q1,The Golden Jubilee National Hospital,Urology,0,0
2019Q2,The Golden Jubilee National Hospital,Urology,0,0
2020Q2,The Golden Jubilee National Hospital,Urology,25,78
2020Q3,The Golden Jubilee National Hospital,Urology,18,151
2020Q4,The Golden Jubilee National Hospital,Urology,29,241
2021Q1,The Golden Jubilee National Hospital,Urology,25,120
2021Q2,The Golden Jubilee National Hospital,Urology,10,155
2021Q3,The Golden Jubilee National Hospital,Urology,10,125
2021Q4,The Golden Jubilee National Hospital,Urology,19,139
2022Q1,The Golden Jubilee National Hospital,Urology,15,88
2022Q2,The Golden Jubilee National Hospital,Urology,15,71
2021Q1,The Golden Jubilee National Hospital,Other,11,27
2021Q2,The Golden Jubilee National Hospital,Other,20,48
2021Q4,The Golden Jubilee National Hospital,Other,0,5
2017Q3,The Golden Jubilee National Hospital,Cardiology,225,686
2017Q4,The Golden Jubilee National Hospital,Cardiology,238,418
2018Q1,The Golden Jubilee National Hospital,Cardiology,241,831
2018Q2,The Golden Jubilee National Hospital,Cardiology,244,535
2018Q3,The Golden Jubilee National Hospital,Cardiology,228,577
2018Q4,The Golden Jubilee National Hospital,Cardiology,244,569
2019Q1,The Golden Jubilee National Hospital,Cardiology,284,758
2019Q2,The Golden Jubilee National Hospital,Cardiology,277,518
2019Q3,The Golden Jubilee National Hospital,Cardiology,234,743
2019Q4,The Golden Jubilee National Hospital,Cardiology,212,804
2020Q1,The Golden Jubilee National Hospital,Cardiology,200,519
2020Q2,The Golden Jubilee National Hospital,Cardiology,128,398
2020Q3,The Golden Jubilee National Hospital,Cardiology,200,561
2020Q4,The Golden Jubilee National Hospital,Cardiology,233,811
2021Q1,The Golden Jubilee National Hospital,Cardiology,242,549
2021Q2,The Golden Jubilee National Hospital,Cardiology,221,542
2021Q3,The Golden Jubilee National Hospital,Cardiology,224,804
2021Q4,The Golden Jubilee National Hospital,Cardiology,238,786
2022Q1,The Golden Jubilee National Hospital,Cardiology,248,907
2022Q2,The Golden Jubilee National Hospital,Cardiology,252,910
2022Q3,The Golden Jubilee National Hospital,Cardiology,257,760
2021Q4,The Golden Jubilee National Hospital,Gastroenterology,0,0
2022Q2,The Golden Jubilee National Hospital,Gastroenterology,0,0
2017Q3,The Golden Jubilee National Hospital,Other,38,130
2017Q4,The Golden Jubilee National Hospital,Other,38,127
2018Q1,The Golden Jubilee National Hospital,Other,45,143
2018Q2,The Golden Jubilee National Hospital,Other,57,168
2018Q3,The Golden Jubilee National Hospital,Other,50,148
2018Q4,The Golden Jubilee National Hospital,Other,46,143
2019Q1,The Golden Jubilee National Hospital,Other,42,136
2019Q2,The Golden Jubilee National Hospital,Other,42,116
2019Q3,The Golden Jubilee National Hospital,Other,45,124
2019Q4,The Golden Jubilee National Hospital,Other,45,139
2020Q1,The Golden Jubilee National Hospital,Other,45,125
2020Q2,The Golden Jubilee National Hospital,Other,14,29
2020Q3,The Golden Jubilee National Hospital,Other,45,110
2020Q4,The Golden Jubilee National Hospital,Other,28,92
2021Q1,The Golden Jubilee National Hospital,Other,30,95
2021Q2,The Golden Jubilee National Hospital,Other,39,113
2021Q3,The Golden Jubilee National Hospital,Other,45,126
2021Q4,The Golden Jubilee National Hospital,Other,40,118
2022Q1,The Golden Jubilee National Hospital,Other,35,105
2022Q2,The Golden Jubilee National Hospital,Other,45,129
2022Q3,The Golden Jubilee National Hospital,Other,45,124
2017Q3,The Golden Jubilee National Hospital,General Surgery,46,57
2017Q4,The Golden Jubilee National Hospital,General Surgery,45,47
2018Q1,The Golden Jubilee National Hospital,General Surgery,60,68
2018Q2,The Golden Jubilee National Hospital,General Surgery,45,49
2018Q3,The Golden Jubilee National Hospital,General Surgery,55,61
2018Q4,The Golden Jubilee National Hospital,General Surgery,73,89
2019Q1,The Golden Jubilee National Hospital,General Surgery,42,42
2019Q2,The Golden Jubilee National Hospital,General Surgery,30,39
2019Q3,The Golden Jubilee National Hospital,General Surgery,33,35
2019Q4,The Golden Jubilee National Hospital,General Surgery,38,43
2020Q1,The Golden Jubilee National Hospital,General Surgery,45,57
2020Q2,The Golden Jubilee National Hospital,General Surgery,20,107
2020Q3,The Golden Jubilee National Hospital,General Surgery,30,135
2020Q4,The Golden Jubilee National Hospital,General Surgery,30,66
2021Q1,The Golden Jubilee National Hospital,General Surgery,51,153
2021Q2,The Golden Jubilee National Hospital,General Surgery,29,31
2021Q3,The Golden Jubilee National Hospital,General Surgery,105,312
2021Q4,The Golden Jubilee National Hospital,General Surgery,118,439
2022Q1,The Golden Jubilee National Hospital,General Surgery,110,785
2022Q2,The Golden Jubilee National Hospital,General Surgery,90,379
2022Q3,The Golden Jubilee National Hospital,General Surgery,99,326
2017Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,548,3954
2017Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,596,4505
2018Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,602,4300
2018Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,610,4423
2018Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,605,4227
2018Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,565,4087
2019Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,573,3939
2019Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,590,4238
2019Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,622,4629
2019Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,591,4830
2020Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,562,4251
2020Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,376,2489
2020Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,472,3754
2020Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,464,3732
2021Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,441,3397
2021Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,509,3885
2021Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,439,3350
2021Q4,The Golden Jubilee National Hospital,Cardiothoracic Surgery,400,3588
2022Q1,The Golden Jubilee National Hospital,Cardiothoracic Surgery,438,2965
2022Q2,The Golden Jubilee National Hospital,Cardiothoracic Surgery,416,3260
2022Q3,The Golden Jubilee National Hospital,Cardiothoracic Surgery,446,3250
2020Q2,The Golden Jubilee National Hospital,Other,54,260
2020Q3,The Golden Jubilee National Hospital,Other,59,138
2020Q4,The Golden Jubilee National Hospital,Other,50,131
2021Q1,The Golden Jubilee National Hospital,Other,39,140
2021Q2,The Golden Jubilee National Hospital,Other,38,124
2021Q3,The Golden Jubilee National Hospital,Other,5,5
2021Q4,The Golden Jubilee National Hospital,Other,25,62
2022Q1,The Golden Jubilee National Hospital,Other,25,68
2022Q2,The Golden Jubilee National Hospital,Other,5,7
2018Q3,The Golden Jubilee National Hospital,Other,0,0
2017Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1008,3478
2017Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1054,3770
2018Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1019,3504
2018Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1047,3436
2018Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1139,3519
2018Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1180,3194
2019Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,1146,2757
2019Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,983,2689
2019Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,928,2959
2019Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,937,2768
2020Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,864,2411
2020Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,33,551
2020Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,360,2929
2020Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,847,2392
2021Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,864,2892
2021Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,875,2909
2021Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,797,2594
2021Q4,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,802,2598
2022Q1,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,735,2309
2022Q2,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,807,2524
2022Q3,The Golden Jubilee National Hospital,Trauma and Orthopaedic Surgery,864,2779
2017Q3,The Golden Jubilee National Hospital,Other,10,11
2017Q4,The Golden Jubilee National Hospital,Other,10,10
2018Q1,The Golden Jubilee National Hospital,Other,12,12
2018Q2,The Golden Jubilee National Hospital,Other,10,9
2018Q3,The Golden Jubilee National Hospital,Other,5,5
2018Q4,The Golden Jubilee National Hospital,Other,5,0
2019Q2,The Golden Jubilee National Hospital,Other,0,0
2020Q3,The Golden Jubilee National Hospital,Other,5,8
2021Q1,The Golden Jubilee National Hospital,Other,5,16
2021Q2,The Golden Jubilee National Hospital,Other,5,6
2021Q4,The Golden Jubilee National Hospital,Other,0,5
2022Q1,The Golden Jubilee National Hospital,Other,5,7
2022Q2,The Golden Jubilee National Hospital,Other,5,9
2018Q1,The Golden Jubilee National Hospital,Urology,0,0
2019Q2,The Golden Jubilee National Hospital,Urology,0,0
2020Q2,The Golden Jubilee National Hospital,Urology,25,78
2020Q3,The Golden Jubilee National Hospital,Urology,18,151
2020Q4,The Golden Jubilee National Hospital,Urology,29,241
2021Q1,The Golden Jubilee National Hospital,Urology,25,120
2021Q2,The Golden Jubilee National Hospital,Urology,10,155
2021Q3,The Golden Jubilee National Hospital,Urology,10,125
2021Q4,The Golden Jubilee National Hospital,Urology,19,139
2022Q1,The Golden Jubilee National Hospital,Urology,15,88
2022Q2,The Golden Jubilee National Hospital,Urology,15,71
2021Q1,The Golden Jubilee National Hospital,Other,11,27
2021Q2,The Golden Jubilee National Hospital,Other,20,48
2021Q4,The Golden Jubilee National Hospital,Other,0,5
2017Q3,Ayrshire and Arran,General Medicine,62,505
2017Q4,Ayrshire and Arran,General Medicine,74,620
2018Q1,Ayrshire and Arran,General Medicine,61,421
2018Q2,Ayrshire and Arran,General Medicine,71,653
2018Q3,Ayrshire and Arran,General Medicine,50,317
2018Q4,Ayrshire and Arran,General Medicine,59,354
2019Q1,Ayrshire and Arran,General Medicine,59,293
2019Q2,Ayrshire and Arran,General Medicine,55,426
2019Q3,Ayrshire and Arran,General Medicine,55,371
2019Q4,Ayrshire and Arran,General Medicine,39,482
2020Q1,Ayrshire and Arran,General Medicine,25,402
2020Q2,Ayrshire and Arran,General Medicine,18,113
2020Q3,Ayrshire and Arran,General Medicine,35,299
2020Q4,Ayrshire and Arran,General Medicine,20,288
2021Q1,Ayrshire and Arran,General Medicine,12,302
2021Q2,Ayrshire and Arran,General Medicine,18,272
2021Q3,Ayrshire and Arran,General Medicine,13,228
2021Q4,Ayrshire and Arran,General Medicine,11,201
2022Q1,Ayrshire and Arran,General Medicine,10,110
2022Q2,Ayrshire and Arran,General Medicine,13,166
2022Q3,Ayrshire and Arran,General Medicine,13,152
2017Q3,Ayrshire and Arran,Cardiology,33,70
2017Q4,Ayrshire and Arran,Cardiology,35,75
2018Q1,Ayrshire and Arran,Cardiology,30,64
2018Q2,Ayrshire and Arran,Cardiology,31,43
2018Q3,Ayrshire and Arran,Cardiology,23,60
2018Q4,Ayrshire and Arran,Cardiology,34,69
2019Q1,Ayrshire and Arran,Cardiology,37,86
2019Q2,Ayrshire and Arran,Cardiology,28,84
2019Q3,Ayrshire and Arran,Cardiology,38,78
2019Q4,Ayrshire and Arran,Cardiology,28,123
2020Q1,Ayrshire and Arran,Cardiology,50,94
2020Q2,Ayrshire and Arran,Cardiology,19,55
2020Q3,Ayrshire and Arran,Cardiology,18,73
2020Q4,Ayrshire and Arran,Cardiology,30,59
2021Q1,Ayrshire and Arran,Cardiology,32,30
2021Q2,Ayrshire and Arran,Cardiology,23,38
2021Q3,Ayrshire and Arran,Cardiology,35,39
2021Q4,Ayrshire and Arran,Cardiology,37,57
2022Q1,Ayrshire and Arran,Cardiology,24,55
2022Q2,Ayrshire and Arran,Cardiology,45,87
2022Q3,Ayrshire and Arran,Cardiology,29,58
2017Q4,Ayrshire and Arran,Other,0,0
2019Q2,Ayrshire and Arran,Other,0,0
2017Q3,Ayrshire and Arran,Other,5,82
2017Q4,Ayrshire and Arran,Other,5,57
2018Q2,Ayrshire and Arran,Other,5,96
2018Q3,Ayrshire and Arran,Other,5,40
2018Q4,Ayrshire and Arran,Other,5,34
2019Q1,Ayrshire and Arran,Other,0,11
2019Q2,Ayrshire and Arran,Other,5,41
2019Q3,Ayrshire and Arran,Other,0,15
2019Q4,Ayrshire and Arran,Other,0,18
2021Q3,Ayrshire and Arran,Other,0,5
2022Q1,Ayrshire and Arran,Other,0,0
2022Q3,Ayrshire and Arran,Other,0,0
2018Q1,Ayrshire and Arran,Other,5,10
2018Q2,Ayrshire and Arran,Other,0,0
2018Q3,Ayrshire and Arran,Other,0,5
2018Q4,Ayrshire and Arran,Other,0,0
2019Q2,Ayrshire and Arran,Other,0,0
2019Q4,Ayrshire and Arran,Other,0,0
2017Q3,Ayrshire and Arran,Gastroenterology,0,7
2019Q4,Ayrshire and Arran,Gastroenterology,0,0
2017Q3,Ayrshire and Arran,Geriatric Medicine,0,28
2017Q4,Ayrshire and Arran,Geriatric Medicine,0,303
2018Q1,Ayrshire and Arran,Geriatric Medicine,0,18
2018Q2,Ayrshire and Arran,Geriatric Medicine,5,341
2018Q3,Ayrshire and Arran,Geriatric Medicine,5,163
2018Q4,Ayrshire and Arran,Geriatric Medicine,0,134
2019Q1,Ayrshire and Arran,Geriatric Medicine,5,101
2019Q2,Ayrshire and Arran,Geriatric Medicine,0,304
2019Q3,Ayrshire and Arran,Geriatric Medicine,0,15
2019Q4,Ayrshire and Arran,Geriatric Medicine,5,29
2020Q1,Ayrshire and Arran,Geriatric Medicine,0,87
2017Q3,Ayrshire and Arran,Other,15,21
2017Q4,Ayrshire and Arran,Other,16,56
2018Q1,Ayrshire and Arran,Other,5,9
2018Q2,Ayrshire and Arran,Other,5,10
2018Q3,Ayrshire and Arran,Other,5,6
2018Q4,Ayrshire and Arran,Other,5,19
2019Q1,Ayrshire and Arran,Other,5,5
2019Q2,Ayrshire and Arran,Other,10,17
2019Q3,Ayrshire and Arran,Other,0,0
2019Q4,Ayrshire and Arran,Other,0,0
2020Q1,Ayrshire and Arran,Other,0,5
2020Q2,Ayrshire and Arran,Other,5,5
2017Q3,Ayrshire and Arran,Other,5,18
2017Q4,Ayrshire and Arran,Other,5,26
2018Q1,Ayrshire and Arran,Other,10,13
2018Q2,Ayrshire and Arran,Other,15,74
2018Q3,Ayrshire and Arran,Other,10,16
2018Q4,Ayrshire and Arran,Other,5,22
2019Q1,Ayrshire and Arran,Other,5,16
2019Q2,Ayrshire and Arran,Other,15,80
2019Q3,Ayrshire and Arran,Other,5,19
2019Q4,Ayrshire and Arran,Other,0,69
2020Q1,Ayrshire and Arran,Other,0,6
2020Q2,Ayrshire and Arran,Other,0,41
2020Q3,Ayrshire and Arran,Other,0,17
2017Q3,Ayrshire and Arran,Other,10,445
2017Q4,Ayrshire and Arran,Other,12,285
2018Q1,Ayrshire and Arran,Other,0,65
2018Q2,Ayrshire and Arran,Other,5,193
2018Q3,Ayrshire and Arran,Other,5,217
2018Q4,Ayrshire and Arran,Other,5,671
2019Q1,Ayrshire and Arran,Other,5,75
2019Q2,Ayrshire and Arran,Other,10,451
2019Q3,Ayrshire and Arran,Other,10,308
2019Q4,Ayrshire and Arran,Other,5,218
2020Q1,Ayrshire and Arran,Other,10,213
2020Q2,Ayrshire and Arran,Other,0,169
2020Q3,Ayrshire and Arran,Other,10,267
2020Q4,Ayrshire and Arran,Other,5,111
2021Q1,Ayrshire and Arran,Other,5,219
2021Q2,Ayrshire and Arran,Other,10,238
2021Q3,Ayrshire and Arran,Other,10,201
2021Q4,Ayrshire and Arran,Other,5,264
2022Q2,Ayrshire and Arran,Other,0,355
2022Q3,Ayrshire and Arran,Other,5,134
2017Q3,Ayrshire and Arran,Other,20,0
2017Q4,Ayrshire and Arran,Other,15,0
2018Q1,Ayrshire and Arran,Other,11,0
2018Q2,Ayrshire and Arran,Other,5,0
2018Q3,Ayrshire and Arran,Other,10,5
2018Q4,Ayrshire and Arran,Other,20,0
2019Q1,Ayrshire and Arran,Other,10,0
2019Q2,Ayrshire and Arran,Other,5,0
2019Q3,Ayrshire and Arran,Other,10,0
2019Q4,Ayrshire and Arran,Other,10,0
2020Q1,Ayrshire and Arran,Other,5,0
2020Q2,Ayrshire and Arran,Other,5,0
2020Q3,Ayrshire and Arran,Other,5,0
2021Q3,Ayrshire and Arran,Other,0,5
2017Q3,Ayrshire and Arran,General Surgery,568,1760
2017Q4,Ayrshire and Arran,General Surgery,509,1878
2018Q1,Ayrshire and Arran,General Surgery,465,1857
2018Q2,Ayrshire and Arran,General Surgery,465,1589
2018Q3,Ayrshire and Arran,General Surgery,472,1694
2018Q4,Ayrshire and Arran,General Surgery,449,1707
2019Q1,Ayrshire and Arran,General Surgery,603,1704
2019Q2,Ayrshire and Arran,General Surgery,582,1681
2019Q3,Ayrshire and Arran,General Surgery,459,1502
2019Q4,Ayrshire and Arran,General Surgery,393,1362
2020Q1,Ayrshire and Arran,General Surgery,335,1399
2020Q2,Ayrshire and Arran,General Surgery,70,277
2020Q3,Ayrshire and Arran,General Surgery,188,931
2020Q4,Ayrshire and Arran,General Surgery,180,933
2021Q1,Ayrshire and Arran,General Surgery,57,305
2021Q2,Ayrshire and Arran,General Surgery,216,933
2021Q3,Ayrshire and Arran,General Surgery,166,997
2021Q4,Ayrshire and Arran,General Surgery,230,1161
2022Q1,Ayrshire and Arran,General Surgery,205,893
2022Q2,Ayrshire and Arran,General Surgery,219,1058
2022Q3,Ayrshire and Arran,General Surgery,236,1010
2018Q2,Ayrshire and Arran,Other,0,44
2017Q3,Ayrshire and Arran,Other,152,399
2017Q4,Ayrshire and Arran,Other,131,294
2018Q1,Ayrshire and Arran,Other,124,319
2018Q2,Ayrshire and Arran,Other,152,271
2018Q3,Ayrshire and Arran,Other,140,251
2018Q4,Ayrshire and Arran,Other,112,301
2019Q1,Ayrshire and Arran,Other,124,244
2019Q2,Ayrshire and Arran,Other,130,276
2019Q3,Ayrshire and Arran,Other,132,316
2019Q4,Ayrshire and Arran,Other,115,257
2020Q1,Ayrshire and Arran,Other,117,242
2020Q2,Ayrshire and Arran,Other,24,79
2020Q3,Ayrshire and Arran,Other,66,111
2020Q4,Ayrshire and Arran,Other,49,164
2021Q1,Ayrshire and Arran,Other,15,21
2021Q2,Ayrshire and Arran,Other,60,108
2021Q3,Ayrshire and Arran,Other,39,83
2021Q4,Ayrshire and Arran,Other,12,21
